690587;ANTONIO;Absenta;00FFFF;AB232BCF2;Brazos;594906
610013;JOSE;Aguamarinaes;00FFFF;AB232BCF3;Cabeza;33936
600327;MANUEL;Alabastro;00FFFF;AB232BCF4;Hombro;2755501
509403;FRANCISCO;Almagro;00FFFF;AB232BCF5;Cabeza;1450216
363559;DAVID;Almendra;00FFFF;AB232BCF6;Cabeza;1326163
353879;JUAN;Almendra pálidowu;00FFFF;AB232BCF7;Piernas;1293868
312257;JOSE ANTONIO;Alazán;0000FF;AB232BCF8;Pecho;1168544
305475;JAVIER;Albaricoquees;0047AB;AB232BCF9;Brazos;820603
296162;JOSE LUIS;Amarantoes;0095B6;AB232BCF10;Cabeza;744402
293609;DANIEL;Amarilloes;00A86B;AB232BCF11;Pecho;705358
288263;FRANCISCO JAVIER;Amarillo de cromo;00CC99;AB232BCF12;Piernas;641330
280310;JESUS;Amarillo de quinoleína (colorante);00FF00;AB232BCF13;Pecho;634363
278986;CARLOS;Amarillo ocasoes o Amarillo crepúsculo (colorante);00FFFF;AB232BCF2;Cabeza;570532
256713;ALEJANDRO;Amarillo verdoso;01D758;AB232BCF3;Brazos;464934
250459;MIGUEL;Amatista;1034A6;AB232BCF4;Pecho;401670
243782;JOSE MANUEL;Ámbares;120A8F;AB232BCF5;Piernas;375718
238992;RAFAEL;Ambrosíawu;120A8F;AB232BCF6;Cabeza;328113
228905;PEDRO;Ampo;120A8F;AB232BCF7;Pecho;323121
227805;MIGUEL ANGEL;Annato o Bija (colorante);130E0A;AB232BCF8;Piernas;298941
223030;ANGEL;Añiles, Índigo o Morado;1560BD;AB232BCF9;Brazos;294536
214954;PABLO;Argénes, Luna, Perla o Plata;1FA055;AB232BCF10;Pecho;294061
211087;JOSE MARIA;Arsénico;228B22;AB232BCF11;Cabeza;284126
206289;FERNANDO;Azafrán;30D5C8;AB232BCF12;Pecho;260295
205235;SERGIO;Azules;32CD32;AB232BCF13;Hombro;259839
197164;LUIS;Azul acero;355E3B;AB232BCF2;Brazos;228104
192090;JORGE;Azul Aliciawu;3B444B;AB232BCF3;Cabeza;211170
179863;ALBERTO;Azul Bondi o Azul verdoso;3D2B1F;AB232BCF4;Brazos;205274
160439;JUAN CARLOS;Azul cadete;40404F;AB232BCF5;Brazos;198971
155765;ALVARO;Azul cobaltoes;40404F;AB232BCF6;Pecho;194289
154825;JUAN JOSE;Azul egipcio;40404F;AB232BCF7;Pecho;184015
150793;DIEGO;Azul de Prusia o Azul de Berlín;40404F;AB232BCF8;Piernas;180608
150123;ADRIAN;Azul marinoes o Ultramarino;40826D;AB232BCF9;Hombro;178903
139692;RAUL;Azul maya;4682B4;AB232BCF10;Pecho;173341
135320;JUAN ANTONIO;Azul real;483C32;AB232BCF11;Brazos;165204
132899;IVAN;Azul sulfán (colorante);4B0082;AB232BCF12;Piernas;158538
131362;ENRIQUE;Azur;4F7942;AB232BCF13;Piernas;157272
127240;RUBEN;Beiswu o Beigees;4F7942;AB232BCF2;Brazos;153926
126031;RAMON;Berenjena;50C878;AB232BCF3;Hombro;153803
122668;VICENTE;Bermellónes o Rojo China;5F9EA0;AB232BCF4;Cabeza;147166
122613;OSCAR;Bisquewu;5F9EA1;AB232BCF5;Cabeza;141338
117858;ANDRES;Bistre;5F9EA2;AB232BCF6;Pecho;128944
114523;JOAQUIN;Blancoes;5F9EA3;AB232BCF7;Cabeza;124789
113871;JUAN MANUEL;Blanco de España;66023C;AB232BCF8;Pecho;123782
111083;SANTIAGO;Borgoña;6C0277;AB232BCF9;Brazos;118783
107086;EDUARDO;Bronce;6C0278;AB232BCF10;Hombro;117816
105329;VICTOR;Burdeo;73C2FB;AB232BCF11;Cabeza;112269
99892;MARIO;Café;73C2FB;AB232BCF12;Cabeza;111712
98162;ROBERTO;Calabaza;78866B;AB232BCF13;Piernas;110277
97127;JAIME;Canario;7B3F00;AB232BCF2;Piernas;109350
95688;FRANCISCO JOSE;Canelo;7BA05B;AB232BCF3;Hombro;103615
90621;IGNACIO;Caoba;7E5835;AB232BCF4;Cabeza;92843
89839;MARCOS;Caquies;7FDD4C;AB232BCF5;Brazos;92747
85936;ALFONSO;Carameloes (colorante);7FFF00;AB232BCF6;Hombro;91369
83242;JORDI;Cardowu;7FFFD4;AB232BCF7;Brazos;88068
82681;SALVADOR;Carmesí;80AA00;AB232BCF8;Hombro;88004
82537;RICARDO;Carmínes;87CEFF;AB232BCF9;Piernas;85552
74705;EMILIO;Carmín de alizarina;87CEFF;AB232BCF10;Hombro;83723
74393;HUGO;Carnaciónes o Encarnación;88421D;AB232BCF11;Brazos;81262
72114;GUILLERMO;Castaño;88421D;AB232BCF12;Piernas;80508
70317;GABRIEL;Castaño rojizo;88421D;AB232BCF13;Brazos;80288
68915;JULIAN;Castor;92000A;AB232BCF2;Brazos;78984
68838;JULIO;Celestees;964B00;AB232BCF3;Hombro;78782
67434;MARC;Cerceta;98FF98;AB232BCF4;Brazos;77170
66008;TOMAS;Cereza;9966CC;AB232BCF5;Brazos;76902
65299;JOSE MIGUEL;Cerúleoes;9966CC;AB232BCF6;Pecho;76611
65143;GONZALO;Chartreusees;9AB973;AB232BCF7;Hombro;73127
64211;AGUSTIN;Chocolate;9ACD32;AB232BCF8;Hombro;68611
61784;MOHAMED;Cianes;9BC4E2;AB232BCF9;Brazos;66941
59408;JOSE RAMON;Cinzolino;9DE093;AB232BCF10;Cabeza;65714
57742;FELIX;Ciruela;A0522D;AB232BCF11;Piernas;64459
56498;NICOLAS;Clorofilaes (colorante);A76726;AB232BCF12;Hombro;64226
56211;JOAN;Cobre;AA0050;AB232BCF13;Hombro;666503
55866;MARTIN;Colorado;ADDFAD;AB232BCF2;Piernas;572994
55334;ISMAEL;Corales;ADFF2F;AB232BCF3;Hombro;707998
53748;CRISTIAN;Coral rojoes;B3446C;AB232BCF4;Cabeza;555607
52899;SAMUEL;Cremaes;B57EDC;AB232BCF5;Pecho;958804
49965;AITOR;Crudo;B5A642;AB232BCF6;Hombro;819246
47653;JUAN FRANCISCO;Denim;B7410E;AB232BCF7;Hombro;898463
47120;JOSEP;Diente de león;B87333;AB232BCF8;Hombro;587919
46516;HECTOR;Dióxido de hierroes (colorante);B8B500;AB232BCF9;Pecho;463203
46475;MARIANO;Dulcamara o Amargamiel;BEF574;AB232BCF10;Brazos;259679
45780;DOMINGO;Encaje antiguo;BF3030;AB232BCF11;Pecho;557386
45236;JOSE CARLOS;Encarnación;C0C0C0;AB232BCF12;Brazos;369993
44266;ALFREDO;Encarnado;C2B280;AB232BCF13;Piernas;473605
44196;SEBASTIAN;Escarlata;C54B8C;AB232BCF6;Piernas;927126
43971;IKER;Esmeraldaes;C62D42;AB232BCF7;Pecho;28585
43030;CESAR;Espárrago;C80815;AB232BCF8;Pecho;39113
41532;FELIPE;Frambuesa;C88A65;AB232BCF9;Hombro;200827
